sexo,educacao,estado_civil,idade,vl_fatura,inadimplente
1,2,2,23,10263.0,0
1,2,2,30,25227.0,1
2,1,2,34,998.0,0
1,5,2,29,390.0,0
1,3,1,57,390.0,0
1,1,1,33,138790.0,0
1,2,1,42,17297.0,0
1,2,1,45,11402.0,0
2,1,1,32,0.0,0
2,2,1,35,141971.0,1
2,1,2,39,61221.0,0
2,1,2,31,98479.0,0
2,2,2,26,25797.0,0
2,2,2,27,18589.0,0
2,1,2,30,423.0,0
2,1,2,29,0.0,0
1,2,1,38,319195.0,1
1,2,1,42,30418.0,0
1,1,2,31,3481.0,0
2,2,2,53,390.0,1
2,1,1,49,33.0,0
2,1,2,30,19720.0,0
1,2,2,28,79696.0,0
2,2,1,29,18279.0,1
1,2,2,38,50604.0,0
2,2,2,24,14354.0,0
2,1,1,22,26177.0,0
1,2,1,45,18459.0,0
1,1,2,24,0.0,0
1,1,1,37,-100.0,0
1,2,2,46,0.0,0
1,2,2,26,100765.0,0
1,2,2,35,3974.0,0
2,2,2,31,20175.0,0
2,1,2,31,1302.0,0
2,2,2,25,26768.0,0
1,2,2,32,9353.0,0
2,1,2,24,500.0,1
1,2,1,37,149658.0,1
1,1,1,59,49259.0,0
1,1,2,24,490.0,0
1,2,2,51,19687.0,0
1,1,2,51,122229.0,0
1,3,1,35,7476.0,0
2,3,2,36,-27.0,1
2,1,2,34,0.0,0
1,1,2,35,1211.0,0
1,1,1,46,0.0,1
1,1,2,33,151357.0,1
1,1,2,27,31601.0,1
1,1,1,56,43465.0,1
2,1,2,24,40283.0,0
2,1,1,34,91173.0,0
1,1,2,29,32677.0,0
2,1,2,30,610.0,0
2,1,2,42,55032.0,0
1,3,1,44,46629.0,0
2,2,2,22,0.0,0
1,3,1,45,17744.0,0
2,2,2,22,28895.0,1
2,1,2,25,16551.0,0
2,2,1,37,5789.0,0
1,2,2,36,49724.0,0
1,2,1,63,1661.0,0
2,2,2,26,9176.0,0
2,1,2,30,26414.0,0
2,2,2,26,63315.0,0
2,1,1,39,18220.0,0
2,1,2,31,0.0,0
1,1,1,44,7500.0,0
2,2,1,36,0.0,0
2,1,1,35,3512.0,0
1,1,2,24,13549.0,0
1,3,1,43,0.0,1
2,1,2,33,12082.0,0
2,1,2,30,0.0,1
2,1,1,31,95211.0,0
2,1,2,26,48052.0,1
2,2,2,29,197.0,0
2,2,2,24,18259.0,0
2,2,1,32,56571.0,1
2,1,2,28,4960.0,0
1,1,2,32,28600.0,0
2,2,1,50,214410.0,0
1,2,1,36,78715.0,1
2,3,1,58,942.0,0
2,1,2,40,2926.0,0
2,2,1,36,19353.0,0
2,4,1,34,0.0,0
2,2,1,45,65495.0,1
1,3,1,44,277427.0,0
1,1,2,40,865.0,0
2,3,1,61,0.0,0
1,1,1,45,65653.0,1
2,1,2,28,-591.0,0
2,3,1,48,45068.0,0
2,2,2,28,61084.0,0
2,3,0,24,1830.0,0
2,1,2,31,0.0,0
1,3,1,44,16083.0,0
2,2,1,31,3300.0,0
2,2,2,26,4864.0,0
1,3,2,26,0.0,0
2,1,1,49,88036.0,1
2,3,2,40,40272.0,0
2,1,1,38,0.0,0
2,1,1,38,8142.0,0
2,1,2,24,1350.0,0
2,2,2,33,0.0,0
2,2,1,34,100618.0,0
1,2,2,26,-18.0,0
1,3,2,48,17675.0,0
2,2,1,42,89942.0,0
2,1,2,38,226905.0,0
2,1,2,26,769.0,0
1,2,1,37,324.0,0
2,1,1,40,6596.0,0
1,2,2,27,19683.0,0
1,2,1,25,44985.0,0
1,1,2,30,0.0,0
2,3,1,53,0.0,0
1,1,1,53,26002.0,0
1,1,1,40,12660.0,1
1,2,1,49,8042.0,1
2,1,2,23,18298.0,0
2,2,1,32,150827.0,0
2,1,2,23,7747.0,1
1,2,1,45,527566.0,0
2,1,2,33,365.0,0
1,1,2,28,157415.0,0
1,1,2,28,8632.0,1
2,3,2,42,3007.0,1
2,1,2,29,326.0,1
1,1,2,28,119402.0,1
2,3,2,58,28940.0,0
1,3,2,45,50443.0,0
2,3,1,42,130579.0,0
1,1,2,36,22156.0,0
2,1,2,30,53269.0,0
2,2,2,52,131520.0,0
1,2,2,30,78445.0,1
2,3,2,61,44436.0,0
2,2,1,39,19162.0,0
2,1,2,23,780.0,0
2,1,2,25,11756.0,0
1,2,2,32,56601.0,0
2,2,2,31,596.0,0
2,1,2,25,357.0,0
2,2,1,34,69784.0,1
1,2,2,43,0.0,0
2,1,1,35,389.0,0
2,2,1,24,696.0,0
1,2,1,52,9037.0,1
1,2,2,25,14400.0,0
1,2,2,30,19818.0,0
2,2,2,33,199154.0,0
1,2,1,53,20001.0,1
2,1,1,32,900.0,0
2,3,1,49,5941.0,0
2,3,1,40,24463.0,1
1,2,1,44,1061.0,1
1,2,1,35,2047.0,0
2,2,1,48,22133.0,0
2,2,2,27,170.0,1
2,1,1,55,45578.0,0
2,2,1,41,6579.0,0
2,2,1,49,578.0,0
2,1,2,27,29745.0,1
1,2,2,31,30169.0,0
2,2,1,29,17257.0,1
2,2,3,48,18561.0,1
2,2,1,43,187467.0,0
1,3,2,59,14692.0,1
2,2,1,36,946.0,0
2,3,1,57,1644.0,0
2,2,1,52,6500.0,0
1,3,1,45,134089.0,1
1,2,1,43,14946.0,1
2,2,2,23,6124.0,0
2,1,2,31,34201.0,0
2,2,2,28,1896.0,0
2,2,1,53,39620.0,0
2,2,1,29,19199.0,0
2,1,2,26,0.0,0
1,2,2,32,1806.0,0
2,2,1,43,0.0,1
1,1,2,26,1936.0,0
1,1,2,27,16723.0,0
2,3,1,45,15447.0,1
2,2,1,31,65921.0,0
1,1,2,26,35357.0,0
1,1,2,29,47891.0,1
2,1,1,48,875.0,0
2,2,1,35,4345.0,1
1,1,2,25,0.0,0
2,1,1,33,1891.0,0
2,3,2,40,27726.0,0
1,2,3,45,28641.0,0
2,5,3,35,16247.0,0
2,2,2,29,125974.0,1
1,2,2,25,54583.0,0
2,2,2,39,343.0,0
1,2,2,31,0.0,0
2,1,1,30,0.0,1
1,2,1,33,77028.0,0
2,3,2,36,28620.0,1
2,1,2,24,94356.0,0
1,2,2,31,11998.0,0
1,2,2,29,27020.0,0
1,1,2,38,0.0,1
2,1,2,29,26647.0,0
2,2,1,47,73728.0,0
1,2,2,37,58987.0,0
1,1,1,37,280.0,1
2,2,2,23,12505.0,0
2,1,1,47,0.0,1
2,1,1,40,0.0,0
2,2,2,34,0.0,1
2,5,2,23,436.0,0
1,3,1,51,860.0,0
2,2,1,38,25033.0,0
2,2,2,25,32738.0,0
1,3,1,39,47.0,0
2,2,2,34,5907.0,0
2,1,2,42,0.0,0
1,2,1,37,0.0,0
1,3,2,53,29134.0,0
2,1,2,32,83282.0,1
1,2,1,28,19231.0,1
1,3,1,43,164101.0,0
2,1,2,27,37186.0,0
2,1,2,42,9948.0,0
1,1,1,43,102467.0,0
2,1,2,30,49909.0,0
2,3,1,48,26482.0,0
2,1,2,29,390.0,0
1,1,2,23,0.0,1
2,3,2,36,6820.0,0
2,2,2,30,896.0,1
2,2,2,25,17316.0,1
1,3,2,33,0.0,1
1,3,2,29,7035.0,1
1,2,1,36,8044.0,1
1,1,2,43,11575.0,1
1,1,2,31,89559.0,0
1,2,2,24,47330.0,0
2,1,1,47,6557.0,0
1,2,2,27,390.0,0
1,1,2,30,0.0,0
1,1,2,29,90618.0,1
1,3,2,32,11886.0,0
2,1,2,28,12613.0,0
1,2,2,32,290.0,0
1,1,2,22,16287.0,1
1,1,2,35,5291.0,0
2,2,1,26,98072.0,1
2,2,2,26,58657.0,0
1,3,1,58,2659.0,0
1,1,1,37,0.0,0
1,3,1,40,72039.0,0
2,5,1,32,-2900.0,0
2,2,2,26,83460.0,1
1,2,1,34,-31.0,0
1,3,1,46,33439.0,1
2,2,1,40,4400.0,0
2,1,2,27,0.0,0
2,3,3,29,45519.0,0
2,2,2,48,10338.0,0
2,1,2,30,2589.0,0
1,1,1,50,76237.0,1
1,1,1,39,259118.0,0
1,2,2,27,189681.0,1
2,1,2,47,281197.0,1
2,2,1,47,14820.0,0
2,1,1,36,13943.0,0
1,2,1,40,2701.0,0
2,2,1,45,78274.0,1
2,5,2,34,3175.0,0
1,1,2,39,0.0,0
1,1,1,40,2534.0,0
1,1,2,28,116690.0,0
1,2,2,24,13174.0,0
2,2,2,30,3174.0,0
1,2,1,41,390.0,1
2,1,1,41,0.0,0
2,1,1,36,172666.0,1
2,2,2,31,22774.0,0
2,2,2,28,46909.0,0
2,1,2,25,10077.0,0
2,2,1,42,48664.0,0
1,2,1,51,19954.0,0
2,3,2,24,28237.0,0
2,1,2,34,27012.0,1
1,1,2,36,222681.0,0
1,3,1,58,24530.0,0
1,2,1,43,3784.0,0
2,1,1,35,8063.0,0
2,3,1,45,0.0,0
2,1,1,53,59883.0,0
1,2,2,40,43839.0,0
2,1,2,35,29629.0,0
2,2,1,43,197.0,0
1,1,2,25,0.0,1
1,2,2,23,19691.0,0
1,1,2,28,8270.0,0
2,2,1,30,4966.0,0
1,3,1,50,17759.0,0
2,1,2,32,10531.0,0
1,3,2,27,28804.0,0
2,2,1,34,15252.0,0
2,2,1,33,19383.0,1
2,2,1,47,78870.0,1
1,1,2,35,0.0,0
2,2,1,24,26886.0,1
1,3,2,49,21667.0,0
2,2,2,48,41396.0,1
1,2,2,22,27521.0,0
2,1,2,24,56569.0,0
2,2,2,50,0.0,0
2,1,1,45,77788.0,0
2,3,2,53,34183.0,1
2,1,2,27,22274.0,0
1,2,2,24,18694.0,0
1,1,2,25,19108.0,0
1,2,1,35,38131.0,0
1,1,2,35,36238.0,0
2,1,2,27,8642.0,0
2,2,2,21,0.0,1
2,1,1,39,146854.0,1
1,1,1,46,0.0,0
1,1,1,32,14584.0,0
2,2,2,28,256840.0,0
2,2,2,31,9470.0,0
2,1,2,31,43253.0,0
2,2,2,50,6182.0,1
2,1,2,28,46706.0,0
2,1,2,31,138038.0,0
2,2,1,34,0.0,0
2,1,2,27,607.0,0
1,2,2,28,30563.0,0
2,2,1,28,18960.0,1
2,1,2,32,29025.0,0
2,2,2,40,9244.0,0
2,1,1,44,190303.0,0
2,1,2,29,6066.0,0
1,1,1,63,316.0,0
1,2,2,29,27184.0,1
2,2,1,40,-43.0,0
2,3,3,55,165409.0,0
2,3,2,25,935.0,0
2,1,2,32,315.0,0
1,1,2,29,101020.0,0
2,2,2,24,39272.0,1
2,2,1,36,4331.0,0
2,2,1,37,118405.0,0
2,2,1,33,13338.0,0
1,2,2,45,17129.0,0
2,2,2,54,71724.0,0
1,1,1,41,0.0,0
2,2,1,40,1492.0,0
1,2,2,25,75643.0,0
2,3,1,39,28768.0,0
2,5,2,37,0.0,0
2,1,2,28,16753.0,0
1,3,1,32,77911.0,0
2,2,1,42,60569.0,1
1,1,2,24,0.0,1
1,2,1,53,44229.0,0
1,3,2,34,59323.0,0
2,5,1,35,239.0,0
1,2,2,27,131390.0,0
2,3,1,55,9743.0,0
1,2,3,37,0.0,0
1,2,2,51,19078.0,1
2,2,1,33,124035.0,0
2,2,1,38,643.0,0
1,2,1,36,150.0,1
2,1,1,36,245851.0,0
2,1,2,33,191188.0,1
2,2,3,57,90842.0,0
2,2,1,35,8273.0,0
2,2,1,44,27255.0,0
2,2,1,42,113666.0,0
2,2,2,24,33523.0,0
1,2,1,47,50146.0,0
1,1,2,33,1554.0,0
1,2,2,27,8932.0,1
1,1,2,34,17528.0,0
2,1,1,33,377217.0,0
1,2,2,24,19385.0,0
2,2,1,29,20842.0,0
2,1,2,36,459.0,0
2,1,1,48,2640.0,0
1,2,2,30,312.0,0
2,2,2,29,9097.0,0
2,1,2,29,10510.0,0
2,1,1,38,8394.0,1
1,2,2,31,261573.0,0
1,2,1,31,167635.0,0
2,2,2,24,100984.0,0
1,1,2,35,61598.0,0
1,2,2,38,0.0,0
2,3,2,31,0.0,0
1,2,1,46,30523.0,0
2,2,2,24,16571.0,0
2,1,1,50,0.0,0
1,1,2,27,84482.0,0
2,2,2,28,43359.0,0
2,1,2,26,16240.0,1
2,2,2,23,-656.0,1
2,2,1,33,10794.0,0
2,3,1,60,13443.0,0
1,2,2,30,1200.0,0
2,1,2,26,10416.0,0
2,2,1,34,18669.0,0
2,2,2,28,0.0,0
2,2,1,38,0.0,0
1,1,1,45,1006.0,0
2,1,2,32,8097.0,0
2,3,1,28,43707.0,0
2,1,2,30,878.0,0
1,2,2,41,3643.0,0
1,3,1,42,9806.0,0
2,2,3,52,11979.0,0
2,2,1,22,20289.0,0
2,1,1,31,511905.0,0
2,3,2,25,51695.0,0
2,1,1,38,137.0,1
1,2,2,31,23400.0,0
2,2,1,31,15712.0,1
1,3,2,25,1650.0,1
2,2,1,41,78780.0,0
1,3,2,48,28675.0,0
2,3,1,48,540.0,0
2,3,1,27,41118.0,0
1,3,2,31,8516.0,0
2,1,1,41,19665.0,0
2,2,0,28,50764.0,0
2,3,2,23,45251.0,0
2,1,1,34,43637.0,0
1,1,2,28,114001.0,1
2,1,2,23,50626.0,1
1,3,2,24,16287.0,1
1,1,1,36,0.0,0
2,2,1,48,430.0,0
1,2,1,39,0.0,0
1,2,2,27,178008.0,0
2,2,1,37,54609.0,0
1,1,1,34,1883.0,0
2,1,2,27,1181.0,0
2,2,2,30,66787.0,0
2,2,2,33,138912.0,0
1,1,2,26,18070.0,0
1,2,1,34,118873.0,0
2,3,2,23,16816.0,0
2,2,1,52,0.0,0
2,3,2,30,79657.0,0
1,3,3,55,14952.0,1
1,2,2,29,14764.0,0
2,1,1,40,7749.0,0
2,2,1,44,44024.0,0
2,2,1,44,188329.0,0
1,2,1,44,6687.0,0
1,3,1,40,9241.0,1
1,2,2,29,2044.0,0
1,1,2,33,113386.0,0
2,1,2,30,33999.0,0
2,1,2,28,11938.0,0
2,2,2,28,29189.0,0
2,1,1,41,13046.0,0
1,2,2,26,76452.0,0
1,2,2,44,0.0,0
1,2,2,23,17822.0,0
1,1,2,24,0.0,1
2,2,1,38,37666.0,0
1,1,2,25,18034.0,1
2,1,2,29,0.0,0
2,2,1,48,1490.0,0
2,3,1,44,0.0,1
1,2,2,23,0.0,1
1,3,2,24,0.0,1
2,1,2,35,69003.0,0
1,1,2,37,172084.0,1
2,3,1,38,120491.0,0
1,2,2,28,27227.0,1
2,1,2,24,1023.0,0
1,1,2,29,967.0,0
2,2,1,52,4341.0,0
1,3,1,39,2681.0,0
1,2,1,55,28400.0,0
2,1,2,27,14464.0,1
2,1,2,25,0.0,1
2,2,2,49,150.0,0
1,1,1,58,4651.0,0
1,1,2,34,8237.0,0
1,3,1,31,112360.0,0
2,3,1,36,27383.0,1
2,3,2,27,11069.0,0
2,1,2,25,40146.0,0
1,1,1,48,-376.0,0
2,5,2,33,41039.0,0
1,3,1,45,0.0,0
2,2,1,43,0.0,0
1,1,1,40,0.0,0
1,2,3,49,20227.0,0
2,1,2,23,622.0,0
2,1,1,44,180506.0,0
1,2,2,67,3622.0,0
1,2,1,38,28456.0,0
2,2,1,31,299959.0,0
1,1,1,50,141695.0,0
1,2,2,47,28068.0,1
1,1,2,36,82.0,0
2,3,1,41,6049.0,0
1,2,2,25,39382.0,1
2,1,2,27,1413.0,0
1,1,1,54,0.0,0
2,1,1,58,5435.0,1
2,2,1,49,11198.0,1
2,3,1,50,23465.0,0
1,2,1,42,16753.0,0
1,3,2,40,81134.0,0
2,2,1,40,18402.0,0
2,2,2,26,50509.0,0
1,2,2,28,60790.0,0
2,1,2,26,17246.0,0
1,3,1,45,2889.0,1
2,2,2,41,183299.0,0
1,1,1,41,0.0,0
2,1,2,33,167230.0,0
1,3,2,34,60463.0,0
2,2,1,42,28285.0,0
2,2,2,39,26535.0,0
2,2,1,42,4086.0,0
1,4,2,30,20105.0,0
1,1,1,53,0.0,0
1,2,1,47,193122.0,1
1,2,1,40,18212.0,0
2,3,1,36,0.0,0
2,1,1,29,178318.0,0
1,1,2,49,9418.0,0
1,1,1,57,352161.0,0
1,2,2,49,1320.0,0
2,2,1,31,25740.0,0
2,2,1,36,0.0,1
1,2,3,53,28652.0,0
2,3,2,31,44621.0,0
2,2,2,28,71427.0,1
1,1,2,29,131001.0,0
2,3,1,28,3875.0,1
1,2,2,38,-18.0,1
1,3,1,53,80601.0,0
1,1,2,39,10141.0,0
2,2,1,48,162555.0,0
1,1,2,32,122674.0,0
2,2,2,25,8522.0,0
2,3,2,25,583.0,0
2,2,2,34,-600.0,0
1,2,1,37,28688.0,1
2,3,1,43,0.0,0
2,1,2,33,-2.0,0
2,3,1,30,740.0,0
1,2,2,27,58160.0,0
1,1,2,25,0.0,1
2,3,3,55,20082.0,1
1,1,2,37,53590.0,0
2,1,2,36,163338.0,1
2,3,1,40,33926.0,0
2,2,1,48,6995.0,0
2,2,1,33,90054.0,0
2,2,1,37,66729.0,0
2,1,2,35,7433.0,0
2,2,2,31,55136.0,0
2,2,1,39,77913.0,0
2,2,1,27,0.0,0
2,2,2,21,0.0,0
2,3,2,29,870.0,0
1,3,2,28,1150.0,1
2,3,1,47,5513.0,0
1,1,2,33,25553.0,1
1,3,2,23,540.0,0
1,2,2,32,143178.0,0
1,1,2,41,237847.0,0
1,2,2,23,390.0,0
2,1,2,28,0.0,0
1,2,1,24,12919.0,0
1,1,1,34,235187.0,0
2,1,2,36,5309.0,0
2,3,1,48,47143.0,0
1,3,1,49,16929.0,0
1,1,2,66,137885.0,0
2,1,1,39,130295.0,0
2,2,1,44,166953.0,0
2,2,1,55,777.0,1
1,2,2,34,23770.0,0
2,1,2,31,158.0,0
2,1,1,42,0.0,0
1,2,2,37,19283.0,0
1,1,2,25,0.0,0
2,2,2,36,97776.0,0
1,3,1,39,43295.0,0
1,3,1,49,179835.0,0
1,1,2,30,3890.0,0
1,1,2,36,28621.0,0
2,3,1,69,0.0,1
2,1,2,27,0.0,0
2,1,2,40,2812.0,0
2,2,2,56,16271.0,1
2,1,2,29,61764.0,0
1,1,2,31,115529.0,0
2,2,1,29,29368.0,0
2,2,1,47,0.0,0
1,3,1,39,19026.0,0
2,1,2,25,23646.0,0
2,2,2,22,27073.0,0
1,1,2,33,35746.0,0
1,1,2,27,4350.0,0
1,2,1,40,26414.0,0
1,1,1,33,40650.0,0
1,3,1,52,0.0,0
2,1,2,30,27022.0,0
1,3,2,39,0.0,0
2,2,1,27,8941.0,0
2,2,2,25,7681.0,0
1,1,2,33,108585.0,0
1,1,2,35,31812.0,1
1,2,2,29,0.0,1
2,1,1,41,24645.0,0
2,2,2,24,10006.0,0
1,2,1,29,64065.0,0
2,3,2,48,0.0,1
1,1,1,34,21464.0,0
2,1,2,23,18782.0,0
1,3,1,29,29244.0,0
1,2,2,30,95949.0,0
1,3,2,24,416.0,0
1,1,2,27,500.0,0
2,3,1,60,0.0,0
2,2,1,24,3400.0,0
2,2,1,35,1198.0,0
2,2,2,26,-45734.0,0
1,2,2,22,19237.0,0
1,3,1,53,22320.0,0
1,2,1,40,17357.0,0
1,2,2,27,10000.0,0
2,2,1,44,-251.0,0
2,1,2,32,3414.0,0
2,5,1,25,6517.0,0
2,2,2,33,30042.0,0
2,2,2,25,72668.0,1
2,2,1,38,150.0,1
1,2,2,34,66025.0,0
2,2,2,28,64409.0,0
1,2,1,33,18888.0,1
1,1,2,29,383.0,0
2,1,2,25,153278.0,0
2,3,1,60,136080.0,1
2,1,1,43,0.0,0
2,2,2,36,42400.0,0
2,3,2,48,923.0,0
1,2,1,24,18848.0,0
2,2,1,35,59491.0,0
1,1,2,33,-1200.0,0
2,2,1,30,33123.0,1
2,2,1,62,142150.0,0
2,1,2,33,120252.0,0
2,2,2,25,20138.0,1
2,3,2,38,150430.0,0
1,2,2,26,0.0,1
1,2,2,24,17509.0,0
2,3,1,35,29700.0,0
2,3,1,58,27903.0,1
1,1,1,42,49016.0,0
1,1,1,41,10676.0,0
1,2,1,34,0.0,0
1,1,2,22,30069.0,0
2,2,1,37,5555.0,0
1,3,1,43,316.0,0
2,2,2,28,114614.0,0
2,3,1,58,316.0,1
2,3,2,24,1518.0,0
2,2,1,39,8540.0,0
2,1,1,38,569.0,0
2,3,2,49,28884.0,0
1,2,1,49,28042.0,0
2,1,2,26,0.0,0
2,2,2,23,359.0,0
2,2,1,27,0.0,0
2,1,2,48,38994.0,0
2,2,1,52,0.0,1
2,1,2,50,178.0,0
1,3,1,37,860.0,0
2,2,1,23,76743.0,1
2,2,2,33,18320.0,0
2,1,2,29,17098.0,0
2,2,2,38,151840.0,0
1,2,2,29,65561.0,1
2,1,1,39,271766.0,0
2,3,1,43,0.0,0
2,2,2,32,72220.0,0
2,1,2,29,0.0,0
1,2,2,33,16759.0,0
2,2,2,27,168283.0,1
1,2,2,37,0.0,0
2,1,1,38,640.0,0
2,3,1,48,4171.0,0
1,2,2,23,29771.0,0
2,2,2,33,59569.0,0
2,2,1,35,36046.0,0
2,2,2,23,3300.0,0
2,2,1,35,124651.0,0
2,2,2,23,17404.0,0
2,2,1,33,43278.0,0
1,2,1,44,0.0,0
1,3,2,45,390.0,0
2,3,1,39,0.0,0
2,2,1,33,101427.0,0
2,1,2,39,352736.0,0
1,2,1,51,626.0,1
2,2,2,36,71675.0,0
2,2,1,24,14924.0,0
2,1,1,40,316.0,0
2,2,2,25,40159.0,1
1,3,2,27,16001.0,0
1,5,2,34,96735.0,0
1,2,1,45,288051.0,0
2,3,2,42,101063.0,0
2,1,1,37,64763.0,0
2,2,2,42,1466.0,0
1,2,2,29,30895.0,0
2,1,2,25,49869.0,0
1,2,2,42,87851.0,0
1,2,2,34,2400.0,0
2,2,2,42,47450.0,0
2,2,2,41,72233.0,0
2,2,1,49,0.0,0
1,1,1,42,135658.0,0
2,2,1,53,390.0,1
2,2,2,26,0.0,0
2,2,2,22,8758.0,1
1,3,1,33,16460.0,0
1,1,2,36,18609.0,0
2,2,2,38,589.0,0
2,2,2,27,1320.0,0
2,1,1,32,382.0,1
2,1,2,28,5684.0,0
2,1,1,43,11111.0,0
1,2,2,24,19954.0,0
1,2,1,39,136229.0,0
2,3,1,29,0.0,0
2,2,1,38,0.0,1
2,2,1,24,553.0,0
1,2,2,24,613.0,0
2,2,1,42,3188.0,0
2,2,1,33,-39.0,0
2,2,2,28,70689.0,0
2,1,2,26,350.0,0
2,3,1,55,125063.0,1
1,1,2,33,91057.0,0
2,1,2,27,24230.0,0
2,2,1,29,121863.0,1
2,2,1,49,22519.0,1
2,2,1,40,0.0,0
1,2,2,29,51422.0,0
2,1,2,23,16624.0,0
1,2,2,37,103240.0,0
2,2,1,41,95578.0,1
2,2,2,28,1809.0,0
1,2,2,43,0.0,0
1,3,1,55,24425.0,0
2,2,1,40,45700.0,0
2,3,1,52,0.0,0
2,2,2,36,110938.0,0
2,2,1,23,14790.0,1
2,2,1,26,15308.0,1
2,3,2,57,17777.0,0
2,2,2,35,30853.0,0
1,1,2,31,19331.0,0
1,1,1,31,87197.0,0
2,1,1,39,110773.0,0
2,1,2,32,386.0,0
1,2,2,37,0.0,0
1,1,2,38,332.0,1
1,2,1,36,2628.0,0
2,1,2,25,1910.0,1
2,3,2,42,4688.0,0
1,1,1,39,0.0,1
1,1,2,28,19413.0,0
2,1,2,28,105377.0,0
2,1,2,25,1735.0,1
2,1,2,26,98909.0,0
2,2,2,23,73764.0,0
2,1,1,30,0.0,1
2,1,1,40,19813.0,0
1,1,2,32,0.0,0
2,2,1,30,-2.0,0
2,1,2,29,629.0,1
1,1,2,28,4144.0,1
2,1,3,48,55533.0,0
2,5,1,28,17519.0,0
2,1,2,35,80469.0,0
1,3,1,62,-4715.0,0
2,1,2,27,31309.0,1
2,2,1,40,16644.0,0
2,1,2,24,29553.0,0
2,2,2,22,30508.0,0
2,1,2,27,6008.0,1
2,2,2,35,5080.0,0
2,1,1,41,46517.0,0
2,1,2,33,1070.0,0
1,2,1,41,86611.0,0
1,1,1,49,-54.0,0
2,3,2,34,0.0,0
2,3,2,27,15184.0,1
1,2,1,48,188774.0,0
2,2,2,22,33115.0,0
2,1,2,25,49978.0,1
2,1,1,37,2010.0,0
2,2,3,37,28598.0,1
1,1,1,49,76444.0,0
1,3,2,33,115854.0,0
2,1,2,27,25325.0,0
2,2,3,37,9902.0,0
2,1,2,48,0.0,0
1,1,1,44,22842.0,0
2,1,1,35,5621.0,0
1,2,1,40,15822.0,1
2,2,2,30,124070.0,0
2,2,1,35,40922.0,1
2,1,2,32,0.0,0
1,3,2,23,11232.0,1
2,3,1,34,87483.0,0
1,1,2,34,0.0,0
1,2,2,34,143916.0,0
2,3,2,59,21743.0,1
2,1,2,22,2030.0,0
2,1,1,36,11069.0,0
2,1,2,27,3443.0,0
1,3,1,38,84805.0,1
2,4,1,42,0.0,0
2,1,2,26,900.0,0
2,1,2,30,253.0,0
2,2,2,37,159416.0,1
1,3,1,51,7135.0,0
1,3,1,56,10165.0,0
2,2,2,30,0.0,1
2,1,2,24,168805.0,1
2,3,1,29,15105.0,0
1,1,2,35,158771.0,1
2,2,1,30,303453.0,0
2,2,2,33,1697.0,1
2,1,2,44,81912.0,0
2,2,1,38,4101.0,0
2,1,1,39,2362.0,0
1,2,1,27,17363.0,0
1,2,1,35,1650.0,0
2,3,2,22,-1.0,0
1,2,1,33,202057.0,0
2,3,2,26,18175.0,0
2,2,1,43,57269.0,0
1,1,3,32,3287.0,0
1,2,1,45,0.0,0
1,2,1,38,0.0,1
1,2,1,40,7580.0,0
2,1,2,22,302.0,0
2,2,2,26,16273.0,0
2,3,2,49,19460.0,0
2,2,1,35,15773.0,0
1,2,1,38,23175.0,0
2,3,2,27,117958.0,0
2,3,2,45,32644.0,0
1,2,1,36,51694.0,0
2,3,2,31,390.0,0
1,3,2,33,104089.0,0
2,1,1,31,0.0,0
1,3,2,24,390.0,0
2,1,2,24,0.0,0
1,2,2,26,58192.0,1
2,1,1,40,0.0,1
2,2,1,40,144482.0,0
2,2,1,44,69.0,0
1,1,2,29,0.0,0
2,2,2,26,380.0,0
2,1,1,30,109980.0,0
2,2,2,26,10941.0,0
1,2,1,48,19213.0,0
2,3,1,33,36713.0,0
2,1,2,26,77588.0,0
2,1,2,33,1980.0,0
2,1,2,23,0.0,0
2,1,2,31,1158.0,0
1,1,2,23,9165.0,0
1,1,1,50,8299.0,1
2,1,2,29,23896.0,0
1,1,2,26,18156.0,0
2,2,2,24,60662.0,0
2,2,1,28,17896.0,0
2,2,2,25,7057.0,0
2,2,3,26,669.0,0
2,3,1,53,53525.0,1
1,1,2,36,42064.0,0
1,1,2,31,6478.0,0
2,2,1,33,-184.0,0
2,1,1,34,87404.0,0
1,1,2,36,116577.0,1
2,1,1,44,3975.0,0
1,3,2,25,1280.0,0
2,1,1,24,844.0,1
1,1,1,67,0.0,1
2,1,2,25,44593.0,1
2,2,2,30,116653.0,0
2,2,2,24,3314.0,1
2,2,1,45,0.0,0
1,2,1,49,57196.0,0
2,1,2,28,0.0,0
2,2,2,43,18490.0,0
2,3,1,70,30482.0,0
1,3,1,50,19904.0,0
2,2,2,22,8252.0,1
2,1,2,38,15559.0,1
1,2,2,42,20456.0,0
2,1,2,22,9859.0,0
2,2,1,28,88808.0,0
1,1,1,34,103444.0,1
1,1,1,45,127078.0,0
2,2,1,26,28492.0,0
1,3,1,47,72157.0,0
2,2,2,26,26175.0,1
2,2,3,36,28250.0,0
1,2,2,26,2400.0,1
2,3,2,22,18574.0,0
2,1,2,25,0.0,0
2,2,2,26,79694.0,0
1,1,2,30,72656.0,0
1,2,2,23,540.0,0
1,2,2,37,390.0,0
2,1,2,27,116097.0,0
2,2,1,59,55826.0,0
2,1,1,43,82472.0,1
2,1,1,30,150.0,0
1,1,2,30,49251.0,0
2,3,1,61,148302.0,0
1,1,2,28,170722.0,0
1,2,2,29,64684.0,0
2,2,2,28,71272.0,1
